source	target	lib	tfidfMax	tfidfDistances
0181IbnMubarak.Jihad.JK000549-ara1	1198.json	RAWrabicaShamAY1	0.89497	[0.89497]
0181IbnMubarak.Jihad.JK000549-ara1	13035.json	RAWrabicaShamAY2	0.89491	[0.89491]
0181IbnMubarak.Jihad.JK000549-ara1	13187.json	RAWrabicaShamAY2	0.89489	[0.89489]
0181IbnMubarak.Jihad.JK000549-ara1	1198.bok.json	RAWrabicaSham19Y	0.89473	[0.89473]
0181IbnMubarak.Jihad.JK000549-ara1	1719.json	RAWrabicaShamAY1	0.89454	[0.89454]
0181IbnMubarak.Jihad.JK000549-ara1	0463IbnCabdBarr.TamhidMuwatta.Shamela0001719-ara1	RELEASE	0.8945	[0.8945]
0181IbnMubarak.Jihad.JK000549-ara1	0281IbnAbiDunya.HusnZannBiLlah.Shia001940-ara1	RELEASE	0.89447	[0.89447]
0181IbnMubarak.Jihad.JK000549-ara1	Sham30K0033993	RAWrabica020000	0.89439	[0.89439]
0181IbnMubarak.Jihad.JK000549-ara1	0327AbuBakrKharaiti.FadilatShukr.JK000048-ara1	RELEASE	0.89425	[0.89425]
0181IbnMubarak.Jihad.JK000549-ara1	9306.json	RAWrabicaShamAY1	0.89388	[0.89388]
0181IbnMubarak.Jihad.JK000549-ara1	13140.json	RAWrabicaShamAY2	0.89382	[0.89382]
0181IbnMubarak.Jihad.JK000549-ara1	0480IbnAhmadHakimHaskani.ShawahidTanzil.Shia002550Vols-ara1	RELEASE	0.89361	[0.89361]
0181IbnMubarak.Jihad.JK000549-ara1	0281IbnAbiDunya.Warac.JK000019-ara1	RELEASE	0.89324	[0.89324]
0181IbnMubarak.Jihad.JK000549-ara1	13140.bok.json	RAWrabicaSham19Y	0.89309	[0.89309]
0181IbnMubarak.Jihad.JK000549-ara1	0281IbnAbiDunya.Ikhwan.Shamela0012990-ara1	RELEASE	0.89294	[0.89294]
0181IbnMubarak.Jihad.JK000549-ara1	0281IbnAbiDunya.Warac.Shamela0013078-ara1	RELEASE	0.89273	[0.89273]
0181IbnMubarak.Jihad.JK000549-ara1	0320HakimTirmidhi.NawadirUsul.ShamAY0038092-ara1	RELEASE	0.89244	[0.89244]
0181IbnMubarak.Jihad.JK000549-ara1	0281IbnAbiDunya.Juc.ShamAY0038165-ara1	RELEASE	0.89241	[0.89241]
0181IbnMubarak.Jihad.JK000549-ara1	0281IbnAbiDunya.Ikhwan.JK000012-ara1	RELEASE	0.89193	[0.89193]
